No.,Pokemon,Type 1,Type 2 ,HP,ATK,DEF,SPA,SPD,SPE,BST,ABILITY 1,ABILITY 2,HIDDEN ABILITY,can mega,Pokemon
825,Dottler,Bug,Psychic,50,35,80,50,90,30,335,Swarm,Compoundeyes,Telepathy,na,Dottler
826,Orbeetle,Bug,Psychic,60,45,110,80,120,90,505,Swarm,Frisk,Telepathy,na,Orbeetle
826,Orbeetle-Gmax,Bug,Psychic,60,45,110,80,120,90,505,Swarm,Frisk,Telepathy,na,Orbeetle-Gmax
827,Nickit,Dark,na,40,28,28,47,52,50,245,Run Away,Unburden,Stakeout,na,Nickit
828,Thievul,Dark,na,70,58,58,87,92,90,455,Run Away,Unburden,Stakeout,na,Thievul
829,Gossifleur,Grass,na,40,40,60,40,60,10,250,Cotton Down,Regenerator,Effect Spore,na,Gossifleur
830,Eldegoss,Grass,na,60,50,90,80,120,60,460,Cotton Down,Regenerator,Effect Spore,na,Eldegoss
831,Wooloo,Normal,na,42,40,55,40,45,48,270,Fluffy,Run Away,Bulletproof,na,Wooloo
832,Dubwool,Normal,na,72,80,100,60,90,88,490,Fluffy,Steadfast,Bulletproof,na,Dubwool
833,Chewtle,Water,na,50,64,50,38,38,44,284,Strong Jaw,Shell Armor,Swift Swim,na,Chewtle
834,Drednaw,Water,Rock,90,115,90,48,68,74,485,Strong Jaw,Shell Armor,Swift Swim,na,Drednaw
834,Drednaw-Gmax,Water,Rock,90,115,90,48,68,74,485,Strong Jaw,Shell Armor,Swift Swim,na,Drednaw-Gmax
835,Yamper,Electric,na,59,45,50,40,50,26,270,Ball Fetch,na,Rattled,na,Yamper
836,Boltund,Electric,na,69,90,60,90,60,121,490,Strong Jaw,na,Competitive,na,Boltund
837,Rolycoly,Rock,na,30,40,50,40,50,30,240,Steam Engine,Heatproof,Flash Fire,na,Rolycoly
838,Carkol,Rock,Fire,80,60,90,60,70,50,410,Steam Engine,Flame Body,Flash Fire,na,Carkol
839,Coalossal,Rock,Fire,110,80,120,80,90,30,510,Steam Engine,Flame Body,Flash Fire,na,Coalossal
839,Coalossal-Gmax,Rock,Fire,110,80,120,80,90,30,510,Steam Engine,Flame Body,Flash Fire,na,Coalossal-Gmax
840,Applin,Grass,Dragon,40,40,80,40,40,20,260,Ripen,Gluttony,Bulletproof,na,Applin
841,Flapple,Grass,Dragon,70,110,80,95,60,70,485,Ripen,Gluttony,Hustle,na,Flapple
841,Flapple-Gmax,Grass,Dragon,70,110,80,95,60,70,485,Ripen,Gluttony,Hustle,na,Flapple-Gmax
842,Appletun,Grass,Dragon,110,85,80,100,80,30,485,Ripen,Gluttony,Thick Fat,na,Appletun
842,Appletun-Gmax,Grass,Dragon,110,85,80,100,80,30,485,Ripen,Gluttony,Thick Fat,na,Appletun-Gmax
843,Silicobra,Ground,na,52,57,75,35,50,46,315,Sand Spit,Shed Skin,Sand Veil,na,Silicobra
844,Sandaconda,Ground,na,72,107,125,65,70,71,510,Sand Spit,Shed Skin,Sand Veil,na,Sandaconda
844,Sandaconda-Gmax,Ground,na,72,107,125,65,70,71,510,Sand Spit,Shed Skin,Sand Veil,na,Sandaconda-Gmax
845,Cramorant,Flying,Water,70,85,55,85,95,85,475,Gulp Missile,na,na,na,Cramorant
846,Arrokuda,Water,na,41,63,40,40,30,66,280,Swift Swim,na,Propeller Tail,na,Arrokuda
847,Barraskewda,Water,na,61,123,60,60,50,136,490,Swift Swim,na,Propeller Tail,na,Barraskewda
848,Toxel,Electric,Poison,40,38,35,54,35,40,242,Rattled,Static,Klutz,na,Toxel
849,Toxtricity,Electric,Poison,75,98,70,114,70,75,502,Punk Rock,Plus/Minus,Technician,na,Toxtricity
849,Toxtricity-Gmax,Electric,Poison,75,98,70,114,70,75,502,Punk Rock,Plus/Minus,Technician,na,Toxtricity-Gmax
850,Sizzlipede,Fire,Bug,50,65,45,50,50,45,305,Flash Fire,White Smoke,Flame Body,na,Sizzlipede
851,Centiskorch,Fire,Bug,100,115,65,90,90,65,525,Flash Fire,White Smoke,Flame Body,na,Centiskorch
851,Centiskorch-Gmax,Fire,Bug,100,115,65,90,90,65,525,Flash Fire,White Smoke,Flame Body,na,Centiskorch-Gmax
852,Clobbopus,Fighting,na,50,68,60,50,50,32,310,Limber,na,Technician,na,Clobbopus
853,Grapploct,Fighting,na,80,118,90,70,80,42,480,Limber,na,Technician,na,Grapploct
854,Sinistea,Ghost,na,40,45,45,74,54,50,308,Weak Armor,na,Cursed Body,na,Sinistea
855,Polteageist,Ghost,na,60,65,65,134,114,70,508,Weak Armor,na,Cursed Body,na,Polteageist
856,Hatenna,Psychic,na,42,30,45,56,53,39,265,Healer,Anticipation,Magic Bounce,na,Hatenna
857,Hattrem,Psychic,na,57,40,65,86,73,49,370,Healer,Anticipation,Magic Bounce,na,Hattrem
858,Hatterene,Psychic,Fairy,57,90,95,136,103,29,510,Healer,Anticipation,Magic Bounce,na,Hatterene
858,Hatterene-Gmax,Psychic,Fairy,57,90,95,136,103,29,510,Healer,Anticipation,Magic Bounce,na,Hatterene-Gmax
859,Impidimp,Dark,Fairy,45,45,30,55,40,50,265,Prankster,Frisk,Pickpocket,na,Impidimp
860,Morgrem,Dark,Fairy,65,60,45,75,55,70,370,Prankster,Frisk,Pickpocket,na,Morgrem
861,Grimmsnarl,Dark,Fairy,95,120,65,95,75,60,510,Prankster,Frisk,Pickpocket,na,Grimmsnarl
861,Grimmsnarl-Gmax,Dark,Fairy,95,120,65,95,75,60,510,Prankster,Frisk,Pickpocket,na,Grimmsnarl-Gmax
862,Obstagoon,Normal,Dark,93,90,101,60,81,95,520,Reckless,Guts,Defiant,na,Obstagoon
863,Perrserker,Steel,na,70,110,100,50,60,50,440,Battle Armor,Tough Claws,Steely Spirit,na,Perrserker
864,Cursola,Ghost,na,60,95,50,145,130,30,510,Weak Armor,na,Perish Body,na,Cursola
865,Sirfetchd,Fighting,na,62,135,95,68,82,65,507,Steadfast,na,Scrappy,na,Sirfetchd
866,Mr. Rime,Ice,Psychic,80,85,75,110,100,70,520,Tangled Feet,Screen Cleaner,Ice Body,na,Mr. Rime
867,Runerigus,Ground,Ghost,58,95,145,50,105,30,483,Wandering Spirit,na,na,na,Runerigus
868,Milcery,Fairy,na,45,40,40,50,61,34,270,Sweet Veil,na,Aroma Veil,na,Milcery
869,Alcremie,Fairy,na,65,60,75,110,121,64,495,Sweet Veil,na,Aroma Veil,na,Alcremie
869,Alcremie-Gmax,Fairy,na,65,60,75,110,121,64,495,Sweet Veil,na,Aroma Veil,na,Alcremie-Gmax
870,Falinks,Fighting,na,65,100,100,70,60,75,470,Battle Armor,na,Defiant,na,Falinks
871,Pincurchin,Electric,na,48,101,95,91,85,15,435,Lightning Rod,na,Electric Surge,na,Pincurchin
872,Snom,Ice,Bug,30,25,35,45,30,20,185,Shield Dust,na,Ice Scales,na,Snom
873,Frosmoth,Ice,Bug,70,65,60,125,90,65,475,Shield Dust,na,Ice Scales,na,Frosmoth
874,Stonjourner,Rock,na,100,125,135,20,20,70,470,Power Spot,na,na,na,Stonjourner
875,Eiscue,Ice,na,75,80,110,65,90,50,470,Ice Face,na,na,na,Eiscue
875,Eiscue-Noice,Ice,na,75,80,70,65,50,130,470,Ice Face,na,na,na,Eiscue-Noice
876,Indeedee,Psychic,Normal,60,65,55,105,95,95,475,Inner Focus,Synchronize,Psychic Surge,na,Indeedee
876,Indeedee-F,Psychic,Normal,70,55,65,95,105,85,475,Own Tempo,Synchronize,Psychic Surge,na,Indeedee-F
877,Morpeko,Electric,Dark,58,95,58,70,58,97,436,Hunger Switch,na,na,na,Morpeko
878,Cufant,Steel,na,72,80,49,40,49,40,330,Sheer Force,na,Heavy Metal,na,Cufant
879,Copperajah,Steel,na,122,130,69,80,69,30,500,Sheer Force,na,Heavy Metal,na,Copperajah
879,Copperajah-Gmax,Steel,na,122,130,69,80,69,30,500,Sheer Force,na,Heavy Metal,na,Copperajah-Gmax
880,Dracozolt,Electric,Dragon,90,100,90,80,70,75,505,Volt Absorb,Hustle,Sand Rush,na,Dracozolt
881,Arctozolt,Electric,Ice,90,100,90,90,80,55,505,Volt Absorb,Static,Slush Rush,na,Arctozolt
882,Dracovish,Water,Dragon,90,90,100,70,80,75,505,Water Absorb,Strong Jaw,Sand Rush,na,Dracovish
883,Arctovish,Water,Ice,90,90,100,80,90,55,505,Water Absorb,Ice Body,Slush Rush,na,Arctovish
884,Duraludon,Steel,Dragon,70,95,115,120,50,85,535,Light Metal,Heavy Metal,Stalwart,na,Duraludon
884,Duraludon-Gmax,Steel,Dragon,70,95,115,120,50,85,535,Light Metal,Heavy Metal,Stalwart,na,Duraludon-Gmax
885,Dreepy,Dragon,Ghost,28,60,30,40,30,82,270,Clear Body,Infiltrator,Cursed Body,na,Dreepy
886,Drakloak,Dragon,Ghost,68,80,50,60,50,102,410,Clear Body,Infiltrator,Cursed Body,na,Drakloak
887,Dragapult,Dragon,Ghost,88,120,75,100,75,142,600,Clear Body,Infiltrator,Cursed Body,na,Dragapult
888,Zacian,Fairy,na,92,120,115,80,115,138,660,Intrepid Sword,na,na,na,Zacian
888,Zacian-Crowned,Fairy,Steel,92,150,115,80,115,148,700,Intrepid Sword,na,na,na,Zacian-Crowned
889,Zamazenta,Fighting,na,92,120,115,80,115,138,660,Dauntless Shield,na,na,na,Zamazenta
889,Zamazenta-Crowned,Fighting,Steel,92,120,140,80,140,128,700,Dauntless Shield,na,na,na,Zamazenta-Crowned
890,Eternatus,Poison,Dragon,140,85,95,145,95,130,690,Pressure,na,na,na,Eternatus
890,Eternatus-Eternamax,Poison,Dragon,255,115,250,125,250,130,1125,Pressure,na,na,na,Eternatus-Eternamax
891,Kubfu,Fighting,na,60,90,60,53,50,72,385,Inner Focus,No Guard,na,na,Kubfu
892,Urshifu-Single,Fighting,dark,100,130,100,63,60,97,550,Unseen Fist,na,na,na,Urshifu-Single
892,Urshifu-Single-Gmax,Fighting,dark,100,130,100,63,60,97,550,Unseen Fist,na,na,na,Urshifu-Single-Gmax
892,Urshifu-Rapid,Fighting,Water,100,130,100,63,60,97,550,Unseen Fist,na,na,na,Urshifu-Rapid
892,Urshifu-Rapid-Gmax,Fighting,Water,100,130,100,63,60,97,550,Unseen Fist,na,na,na,Urshifu-Rapid-Gmax
893,Zarude,Dark,Grass,105,120,105,70,95,105,600,Leaf Guard,na,na,na,Zarude
894,Regieleki,Electric,na,80,100,50,100,50,200,580,Transistor,na,na,na,Regieleki
895,Regidrago,Dragon,na,200,100,50,100,50,80,580,Dragon's Maw,na,na,na,Regidrago
896,Glastrier,Ice,na,100,145,130,65,110,30,580,Chilling Neigh,na,na,na,Glastrier
897,Spectrier,Ghost,na,100,65,60,145,80,130,580,Grim Neigh,na,na,na,Spectrier
898,Calyrex,Psychic,Grass,100,80,80,80,80,80,500,Unnerve,na,na,na,Calyrex
898,Calyrex-Ice,Psychic,Ice,100,165,150,85,130,50,680,As One (Ice Rider),na,na,na,Calyrex-Ice
898,Calyrex-Shadow,Psychic,Ghost,100,85,80,165,100,150,680,As One (Shadow Rider),na,na,na,Calyrex-Shadow
899,Wyrdeer,Normal,Psychic,103,105,72,105,75,65,525,Intimidate,Frisk,Sap Sipper,na,Wyrdeer
900,Kleavor,Bug,Rock,70,130,95,45,75,85,500,Swarm,Sheer Force,Sharpness,na,Kleavor
901,Ursaluna,Ground,Normal,130,140,105,45,80,50,550,Guts,Bulletproof,Unnerve,na,Ursaluna
902,Basculegion,Water,Ghost,120,112,65,80,75,78,530,Swift Swim,Adaptability,Mold Breaker,na,Basculegion
902,Basculegion-F,Water,Ghost,120,92,65,100,75,78,530,Swift Swim,Adaptability,Mold Breaker,na,Basculegion-F
903,Sneasler,Fighting,Poison,80,130,60,40,80,120,510,Pressure,Unburden,Poison Touch,na,Sneasler
904,Overqwil,Dark,Poison,85,115,95,65,65,85,510,Poison Point,Swift Swim,Intimidate,na,Overqwil
905,Enamorus,Fairy,Flying,74,115,70,135,80,106,580,Cute Charm,na,Contrary,na,Enamorus
905,Enamorus-Therian,Fairy,Flying,74,115,110,135,100,46,580,Overcoat,na,na,na,Enamorus-Therian
905,Spirigatito,Grass,na,40,61,54,45,45,65,310,na,na,na,na,Spirigatito
905,Floragato,Grass,na,61,80,63,60,63,83,410,na,na,na,na,Floragato
905,Meowscarada,Grass,Dark,76,110,70,81,70,123,530,na,na,na,na,Meowscarada
905,Fuecoco,Fire,na,67,45,59,63,40,36,310,na,na,na,na,Fuecoco
905,Crocalor,Fire,na,81,55,78,90,58,49,411,na,na,na,na,Crocalor
905,Skeledirge,Fire,Ghost,104,75,100,110,75,66,530,na,na,na,na,Skeledirge
905,Quaxly,Water,na,55,65,45,50,45,50,310,na,na,na,na,Quaxly
905,Quaxwell,Water,na,70,85,65,65,60,65,410,na,na,na,na,Quaxwell
905,Quaquaval,Water,Fighting,85,120,80,85,75,85,530,na,na,na,na,Quaquaval
905,Lechonk,Normal,na,54,45,40,35,45,35,254,na,na,na,na,Lechonk
905,Oinkologne,Normal,na,110,100,75,59,80,65,489,na,na,na,na,Oinkologne
905,Oinkologne-Female,Normal,na,115,90,70,59,90,65,489,na,na,na,na,Oinkologne-Female
905,Dudunsparce,Normal,na,125,100,80,85,75,55,520,na,na,na,na,Dudunsparce
905,Tarountula,Bug,na,35,41,45,29,40,20,210,na,na,na,na,Tarountula
905,Spidops,Bug,na,60,79,92,52,86,35,404,na,na,na,na,Spidops
905,Nymble,Bug,na,33,46,40,21,25,45,210,na,na,na,na,Nymble
905,Lokix,Bug,Dark,71,102,78,52,55,92,450,na,na,na,na,Lokix
905,Rellor,Bug,na,41,50,60,31,58,30,270,na,na,na,na,Rellor
905,Rabsca,Bug,Psychic,75,50,85,115,100,45,470,na,na,na,na,Rabsca
905,Greavard,Ghost,na,50,61,60,30,55,34,290,na,na,na,na,Greavard
905,Houndstone,Ghost,na,72,101,100,50,97,68,488,na,na,na,na,Houndstone
905,Flittle,Psychic,na,30,35,30,55,30,75,255,na,na,na,na,Flittle
905,Espathra,Psychic,na,95,60,60,101,60,105,481,na,na,na,na,Espathra
905,Farigiraf,Normal,Psychic,120,90,70,110,70,60,520,na,na,na,na,Farigiraf
905,Wiglett,Water,na,10,55,25,35,25,95,245,na,na,na,na,Wiglett
905,Wugtrio,Water,na,35,100,50,50,70,120,425,na,na,na,na,Wugtrio
905,Dondozo,Water,na,150,100,115,65,65,35,530,na,na,na,na,Dondozo
905,Veluza,Water,Psychic,90,102,73,78,65,70,478,na,na,na,na,Veluza
905,Finizen,Water,na,70,45,40,45,40,75,315,na,na,na,na,Finizen
905,Palafin,Water,na,100,70,72,53,62,100,457,na,na,na,na,Palafin
905,Smoliv,Grass,Normal,41,35,45,58,51,30,260,na,na,na,na,Smoliv
905,Dolliv,Grass,Normal,52,53,60,78,78,33,354,na,na,na,na,Dolliv
905,Arboliva,Grass,Normal,78,69,90,125,109,39,510,na,na,na,na,Arboliva
905,Capsakid,Grass,na,50,62,40,62,40,50,304,na,na,na,na,Capsakid
905,Scovillain,Grass,Fire,65,108,65,108,65,75,486,na,na,na,na,Scovillain
905,Tadbulb,Electric,na,61,31,41,59,35,45,272,na,na,na,na,Tadbulb
905,Bellibolt,Electric,na,109,64,91,103,83,45,495,na,na,na,na,Bellibolt
905,Varoom,Steel,Poison,45,70,63,30,45,47,300,na,na,na,na,Varoom
905,Revavroom,Steel,Poison,80,119,90,54,67,90,500,na,na,na,na,Revavroom
905,Orthworm,Steel,na,70,85,145,60,55,65,480,na,na,na,na,Orthworm
905,Tandemaus,Normal,na,50,50,45,40,45,75,305,na,na,na,na,Tandemaus
905,Maushold,Normal,na,74,75,70,65,75,111,470,na,na,na,na,Maushold
905,Cetoddle,Ice,na,108,68,45,30,40,43,334,na,na,na,na,Cetoddle
905,Cetitan,Ice,na,170,113,65,45,55,73,521,na,na,na,na,Cetitan
905,Frigibax,Dragon,Ice,65,75,45,35,45,55,320,na,na,na,na,Frigibax
905,Arctibax,Dragon,Ice,90,95,66,45,65,62,423,na,na,na,na,Arctibax
905,Baxcalibur,Dragon,Ice,115,145,92,75,86,87,600,na,na,na,na,Baxcalibur
905,Tatsugiri,Dragon,Water,68,50,60,120,95,82,475,na,na,na,na,Tatsugiri
905,Cyclizar,Dragon,Normal,70,95,65,85,65,121,501,na,na,na,na,Cyclizar
905,Pawmi,Electric,na,45,50,20,40,25,60,240,na,na,na,na,Pawmi
905,Pawmo,Electric,Fighting,60,75,40,50,40,85,350,na,na,na,na,Pawmo
905,Pawmot,Electric,Fighting,70,115,70,70,60,105,490,na,na,na,na,Pawmot
905,Wattrel,Electric,Flying,40,40,35,55,40,70,280,na,na,na,na,Wattrel
905,Kilowattrel,Electric,Flying,70,70,60,105,60,125,490,na,na,na,na,Kilowattrel
905,Bombirdier,Flying,Dark,70,103,85,60,85,82,485,na,na,na,na,Bombirdier
905,Squakabilly,Normal,Flying,82,96,51,45,51,92,417,na,na,na,na,Squakabilly
905,Flamigo,Flying,Fighting,82,115,74,75,64,90,500,na,na,na,na,Flamigo
905,Klawf,Rock,na,70,100,115,35,55,75,450,na,na,na,na,Klawf
905,Nacli,Rock,na,55,55,75,35,35,25,280,na,na,na,na,Nacli
905,Naclstack,Rock,na,60,60,100,35,65,35,355,na,na,na,na,Naclstack
905,Garganacl,Rock,na,100,100,130,45,90,35,500,na,na,na,na,Garganacl
905,Glimmet,Rock,Poison,48,35,42,105,60,60,350,na,na,na,na,Glimmet
905,Glimmora,Rock,Poison,83,55,90,130,81,86,525,na,na,na,na,Glimmora
905,Shroodle,Poison,Normal,40,65,35,40,35,75,290,na,na,na,na,Shroodle
905,Grafaiai,Poison,Normal,63,95,65,80,72,110,485,na,na,na,na,Grafaiai
905,Fidough,Fairy,na,37,55,70,30,55,65,312,na,na,na,na,Fidough
905,Dachsbun,Fairy,na,57,80,115,50,80,95,477,na,na,na,na,Dachsbun
905,Maschiff,Dark,na,60,78,60,40,51,51,340,na,na,na,na,Maschiff
905,Mabosstiff,Dark,na,80,120,90,60,70,85,505,na,na,na,na,Mabosstiff
905,Bramblin,Grass,Ghost,40,65,30,45,35,60,275,na,na,na,na,Bramblin
905,Brambleghast,Grass,Ghost,55,115,70,80,70,90,480,na,na,na,na,Brambleghast
905,Gimmighoul,Ghost,na,45,30,70,75,70,10,300,na,na,na,na,Gimmighoul
905,Gholdengo,Steel,Ghost,87,60,95,133,91,84,550,na,na,na,na,Gholdengo
905,Great Tusk,Ground,Fighting,115,131,131,53,53,87,570,na,na,na,na,Great Tusk
905,Brute Bonnet,Grass,Dark,111,127,99,79,99,55,570,na,na,na,na,Brute Bonnet
905,Sandy Shocks,Electric,Ground,85,81,97,121,85,101,570,na,na,na,na,Sandy Shocks
905,Scream Tail,Fairy,Psychic,115,65,99,65,115,111,570,na,na,na,na,Scream Tail
905,Flutter Mane,Ghost,Fairy,55,55,55,135,135,135,570,na,na,na,na,Flutter Mane
905,Slither Wing,Bug,Fighting,85,135,79,85,105,81,570,na,na,na,na,Slither Wing
905,Roaring Moon,Dragon,Dark,105,139,71,55,101,119,590,na,na,na,na,Roaring Moon
905,Iron Treads,Ground,Steel,90,112,120,72,70,106,570,na,na,na,na,Iron Treads
905,Iron Moth,Fire,Poison,80,70,60,140,110,110,570,na,na,na,na,Iron Moth
905,Iron Hands,Fighting,Electric,154,140,108,50,68,50,570,na,na,na,na,Iron Hands
905,Iron Jugulis,Dark,Flying,94,80,86,122,80,108,570,na,na,na,na,Iron Jugulis
905,Iron Thorns,Rock,Electric,100,134,110,70,84,72,570,na,na,na,na,Iron Thorns
905,Iron Bundle,Ice,Water,56,80,114,124,60,136,570,na,na,na,na,Iron Bundle
905,Iron Valiant,Fairy,Fighting,74,130,90,120,60,116,590,na,na,na,na,Iron Valiant
905,Ting-Lu,Dark,Ground,155,110,125,55,80,45,570,na,na,na,na,Ting-Lu
905,Chien-Pao,Dark,Ice,80,120,80,90,65,135,570,na,na,na,na,Chien-Pao
905,Wo-Chien,Dark,Grass,85,85,100,95,135,70,570,na,na,na,na,Wo-Chien
905,Chi-Yu,Dark,Fire,55,80,80,135,120,100,570,na,na,na,na,Chi-Yu
905,Koraidon,Fighting,Dragon,100,135,115,85,100,135,670,na,na,na,na,Koraidon
905,Miraidon,Electric,Dragon,100,85,100,135,115,135,670,na,na,na,na,Miraidon
905,Tinkatink,Fairy,Steel,50,45,45,35,64,58,297,na,na,na,na,Tinkatink
905,Tinkatuff,Fairy,Steel,65,55,55,45,82,78,380,na,na,na,na,Tinkatuff
905,Tinkaton,Fairy,Steel,85,75,77,70,105,94,506,na,na,na,na,Tinkaton
905,Charcadet,Fire,na,40,50,40,50,40,35,255,na,na,na,na,Charcadet
905,Armarouge,Fire,Psychic,85,60,100,125,80,75,525,na,na,na,na,Armarouge
905,Ceruledge,Fire,Ghost,75,125,80,60,100,85,525,na,na,na,na,Ceruledge
905,Toedscool,Ground,Grass,40,40,35,50,100,70,335,na,na,na,na,Toedscool
905,Toedscruel,Ground,Grass,80,70,65,80,120,100,515,na,na,na,na,Toedscruel
905,Kingambit,Dark,Steel,100,135,120,60,85,50,550,na,na,na,na,Kingambit
905,Wooper-Paldean,Poison,Ground,55,45,45,25,25,15,210,na,na,na,na,Wooper-Paldean
905,Clodsire,Poison,Ground,130,75,60,45,100,20,430,na,na,na,na,Clodsire
905,Annihilape,Fighting,Ghost,110,115,80,50,90,90,535,na,na,na,na,Annihilape
905,Tauros-Paldean,Fighting,na,75,110,105,30,70,100,490,na,na,na,na,Tauros-Paldean
905,Tauros-Paldean-Blaze,Fighting,Fire,75,110,105,30,70,100,490,na,na,na,na,Tauros-Paldean-Blaze
905,Tauros-Paldean-Aqua,Fighting,Water,75,110,105,30,70,100,490,na,na,na,na,Tauros-Paldean-Aqua
905,Walking Wake,Water,Dragon,99,83,91,125,83,109,590,na,na,na,na,Walking Wake
905,Iron Leaves,Grass,Psychic,90,130,88,70,108,104,590,na,na,na,na,Iron Leaves
905,Dipplin,Grass,Dragon,80,80,110,95,80,40,485,na,na,na,na,Dipplin
905,Poltchageist,Grass,Ghost,40,45,45,74,54,50,308,na,na,na,na,Poltchageist
905,Sinistcha,Grass,Ghost,71,60,106,121,80,70,508,na,na,na,na,Sinistcha
905,Ursaluna-Bloodmoon,Ground,Normal,113,70,120,135,65,52,555,na,na,na,na,Ursaluna-Bloodmoon
905,Okidogi,Poison,Fighting,88,128,115,58,86,80,555,na,na,na,na,Okidogi
905,Munkidori,Poison,Psychic,88,75,66,130,90,106,555,na,na,na,na,Munkidori
905,Fezandipiti,Poison,Fairy,88,91,82,70,125,99,555,na,na,na,na,Fezandipiti
905,Ogerpon,Grass,na,80,120,84,60,96,110,550,na,na,na,na,Ogerpon
905,Ogerpon-Wellspring,Grass,Water,80,120,84,60,96,110,550,na,na,na,na,Ogerpon-Wellspring
905,Ogerpon-Hearthflame,Grass,Fire,80,120,84,60,96,110,550,na,na,na,na,Ogerpon-Hearthflame
905,Ogerpon-Cornerstone,Grass,Rock,80,120,84,60,96,110,550,na,na,na,na,Ogerpon-Cornerstone
905,Archaludon,Steel,Dragon,90,105,130,125,65,85,600,na,na,na,na,Archaludon
905,Hydrapple,Grass,Dragon,106,80,110,120,80,44,540,na,na,na,na,Hydrapple
905,Gouging Fire,Fire,Dragon,105,115,121,65,93,91,590,na,na,na,na,Gouging Fire
905,Raging Bolt,Electric,Dragon,125,73,91,137,89,75,590,na,na,na,na,Raging Bolt
905,Iron Boulder,Rock,Psychic,90,120,80,68,108,124,590,na,na,na,na,Iron Boulder
905,Iron Crown,Steel,Psychic,90,72,100,122,108,98,590,na,na,na,na,Iron Crown
905,Terapagos,Normal,na,90,65,85,65,85,60,450,na,na,na,na,Terapagos
905,Terapagos-T,Normal,na,95,95,110,105,110,85,600,na,na,na,na,Terapagos-T
905,Terapagos-S,Normal,na,160,105,110,130,110,85,700,na,na,na,na,Terapagos-S
905,Pecharunt,Poison,Ghost,88,88,160,88,88,88,600,na,na,na,na,Pecharunt
